Instance,n_jobs,n_machines,p_iterations,p_pct,p_lambda,p_tabootenure,p_cooling_r,p_max_iters_nomejor,Initial Makespan,Optimized Makespan,Time (s)
tai30_20.txt - Instance 8,30,20,5000,0.2,0.8,50,1.01,100,3452,3111,29.088979482650757
tai30_20.txt - Instance 9,30,20,5000,0.2,0.8,50,1.01,100,3207,3090,28.186986684799194
tai30_20.txt - Instance 10,30,20,5000,0.2,0.8,50,1.01,100,3044,3044,31.29677963256836
tai50_15.txt - Instance 1,50,15,5000,0.2,0.8,50,1.01,100,4468,4022,49.40582847595215
tai50_15.txt - Instance 2,50,15,5000,0.2,0.8,50,1.01,100,4474,3912,48.81570386886597
tai50_15.txt - Instance 3,50,15,5000,0.2,0.8,50,1.01,100,3830,3796,37.879122495651245
tai50_15.txt - Instance 4,50,15,5000,0.2,0.8,50,1.01,100,4362,3894,41.04995059967041
tai50_15.txt - Instance 5,50,15,5000,0.2,0.8,50,1.01,100,4978,3985,49.30339336395264
tai50_15.txt - Instance 6,50,15,5000,0.2,0.8,50,1.01,100,4525,4091,49.24090027809143
tai50_15.txt - Instance 7,50,15,5000,0.2,0.8,50,1.01,100,4595,4126,50.1819703578949
tai50_15.txt - Instance 8,50,15,5000,0.2,0.8,50,1.01,100,4380,4174,43.19757413864136
tai50_15.txt - Instance 9,50,15,5000,0.2,0.8,50,1.01,100,4220,3894,43.542996883392334
tai50_15.txt - Instance 10,50,15,5000,0.2,0.8,50,1.01,100,4471,3819,41.589683532714844
tai50_20.txt - Instance 1,50,20,5000,0.2,0.8,50,1.01,100,4577,4500,85.09345889091492
tai50_20.txt - Instance 2,50,20,5000,0.2,0.8,50,1.01,100,4642,4623,66.03425431251526
tai50_20.txt - Instance 3,50,20,5000,0.2,0.8,50,1.01,100,4210,4210,81.69223523139954
tai50_20.txt - Instance 4,50,20,5000,0.2,0.8,50,1.01,100,4377,4238,83.4972128868103
tai50_20.txt - Instance 5,50,20,5000,0.2,0.8,50,1.01,100,4536,4349,68.91444802284241
tai50_20.txt - Instance 6,50,20,5000,0.2,0.8,50,1.01,100,4944,4403,70.39729952812195
tai50_20.txt - Instance 7,50,20,5000,0.2,0.8,50,1.01,100,4906,4527,82.0635015964508
tai50_20.txt - Instance 8,50,20,5000,0.2,0.8,50,1.01,100,4539,4423,65.37820935249329
tai50_20.txt - Instance 9,50,20,5000,0.2,0.8,50,1.01,100,4651,4589,85.56602716445923
tai50_20.txt - Instance 10,50,20,5000,0.2,0.8,50,1.01,100,4879,4647,83.46062588691711
tai100_20.txt - Instance 1,100,20,5000,0.2,0.8,50,1.01,100,7968,7968,231.2587535381317
tai100_20.txt - Instance 2,100,20,5000,0.2,0.8,50,1.01,100,7575,7575,252.4739236831665
tai100_20.txt - Instance 3,100,20,5000,0.2,0.8,50,1.01,100,8170,8021,230.51077938079834
tai100_20.txt - Instance 4,100,20,5000,0.2,0.8,50,1.01,100,8034,7612,251.25028944015503
tai100_20.txt - Instance 5,100,20,5000,0.2,0.8,50,1.01,100,8433,7974,238.70976972579956
tai100_20.txt - Instance 6,100,20,5000,0.2,0.8,50,1.01,100,7820,7820,246.50213527679443
tai100_20.txt - Instance 7,100,20,5000,0.2,0.8,50,1.01,100,8304,7936,246.96259808540344
tai100_20.txt - Instance 8,100,20,5000,0.2,0.8,50,1.01,100,7910,7694,245.35750699043274
tai100_20.txt - Instance 9,100,20,5000,0.2,0.8,50,1.01,100,7843,7644,249.29669833183289
tai100_20.txt - Instance 10,100,20,5000,0.2,0.8,50,1.01,100,7869,7396,248.28728985786438
tai15_15.txt - Instance 1,15,15,5000,0.2,0.8,50,1.1,100,1865,1659,8.04637336730957
tai15_15.txt - Instance 2,15,15,5000,0.2,0.8,50,1.1,100,1911,1669,7.849701881408691
tai15_15.txt - Instance 3,15,15,5000,0.2,0.8,50,1.1,100,1942,1696,6.683393716812134
tai15_15.txt - Instance 4,15,15,5000,0.2,0.8,50,1.1,100,1946,1662,6.9661359786987305
tai15_15.txt - Instance 5,15,15,5000,0.2,0.8,50,1.1,100,1725,1723,6.649652004241943
tai15_15.txt - Instance 6,15,15,5000,0.2,0.8,50,1.1,100,1739,1592,6.771059989929199
tai15_15.txt - Instance 7,15,15,5000,0.2,0.8,50,1.1,100,1993,1636,6.51185154914856
tai15_15.txt - Instance 8,15,15,5000,0.2,0.8,50,1.1,100,1904,1663,6.555990695953369
tai15_15.txt - Instance 9,15,15,5000,0.2,0.8,50,1.1,100,2057,1750,6.810456991195679
tai15_15.txt - Instance 10,15,15,5000,0.2,0.8,50,1.1,100,1808,1645,6.533663749694824
tai20_15.txt - Instance 1,20,15,5000,0.2,0.8,50,1.1,100,2225,1978,9.982021808624268
tai20_15.txt - Instance 2,20,15,5000,0.2,0.8,50,1.1,100,2266,2041,11.033005952835083
tai20_15.txt - Instance 3,20,15,5000,0.2,0.8,50,1.1,100,2183,2004,12.754011869430542
tai20_15.txt - Instance 4,20,15,5000,0.2,0.8,50,1.1,100,2278,1958,13.213863849639893
tai20_15.txt - Instance 5,20,15,5000,0.2,0.8,50,1.1,100,2335,1985,13.584386110305786
tai20_15.txt - Instance 6,20,15,5000,0.2,0.8,50,1.1,100,2089,2023,12.447690725326538
tai20_15.txt - Instance 7,20,15,5000,0.2,0.8,50,1.1,100,2112,2001,11.863781929016113
tai20_15.txt - Instance 8,20,15,5000,0.2,0.8,50,1.1,100,2197,2047,12.883015394210815
tai20_15.txt - Instance 9,20,15,5000,0.2,0.8,50,1.1,100,2123,1971,12.048888206481934
